,MSE,MSE,MAE,MAE,NMSE,NMSE,NMAE,NMAE,aRRMSE,aRRMSE,aCC,aCC
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Assessor,,,,,,,,,,,,
M-SVR,0.07382534984011699,0.05092499300298371,0.7293158546633899,0.12355932137136037,0.19579259894117199,0.08977726579070848,0.7883647765024754,0.14269413231687708,0.8510179172391954,0.07421627719952259,0.5120748194308204,0.11431702062617838
M-SVR(g),0.08018192062398034,0.05893140391993965,0.8254332740713989,0.26594840679972587,0.20060159201047423,0.08651658116156946,0.8447617264677898,0.2389818393588726,0.8991038877793287,0.13588940039281877,0.4798933899182775,0.15412884977866406
MRT,0.07751281109260545,0.052700416315057265,0.7409743844490098,0.1289845080902218,0.1885263771201169,0.08789664513063983,0.7196422013487952,0.0977231998931024,0.8576889593641928,0.07608790674778193,0.51307472229581,0.11731310171133513
MRT(g),0.07716918516114421,0.05245544954410165,0.7313131566526452,0.13994156695940815,0.18737515853930364,0.08826477033652537,0.7067070293915807,0.1140565103984757,0.8513290285916113,0.08424989737323732,0.5200277380638962,0.12438370181918847
RC,0.07615933228394094,0.05145294188550743,0.7115819179055863,0.1640417559667582,0.1911718368017656,0.08840024404453567,0.7135393976078179,0.1357105510308364,0.837256871227071,0.10707358970677992,0.5274684769673651,0.13875816739422878
RC(g),0.07990853661258068,0.05251195937219767,0.746634335750885,0.1901108551837423,0.1948312955275719,0.09148206019768096,0.7231994786457038,0.16800764198674192,0.8558400433268278,0.12390790526967911,0.5149287896231092,0.14862828108026238
ST,0.07723809171983631,0.052389151391554395,0.7186910643439194,0.17302615854437883,0.18702829763712936,0.08865903211364268,0.6948943804862936,0.14066413050651708,0.8407841494250408,0.11293435388677754,0.5281498014237822,0.14352628393216907
