,MSE,MAE,NMSE,NMAE,aRRMSE,aCC
ST,0.0,0.0,4.0,4.0,0.0,2.0
MRT,0.0,0.0,0.0,0.0,0.0,1.0
MRT(g),0.0,0.0,2.0,2.0,0.0,0.0
M-SVR,9.0,9.0,1.0,1.0,9.0,2.0
M-SVR(g),3.0,3.0,2.0,2.0,3.0,2.0
RC,0.0,0.0,0.0,0.0,0.0,2.0
RC(g),1.0,1.0,4.0,4.0,1.0,4.0
