,MSE,MSE,MAE,MAE,NMSE,NMSE,NMAE,NMAE,aRRMSE,aRRMSE,aCC,aCC
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Assessor,,,,,,,,,,,,
M-SVR,0.04515750741442641,0.029195173167204654,1.4987878219004593,1.4705975075972697,0.15708369037928718,0.05775418196039485,1.0558334176584938,0.39167428255015696,1.1531852647960013,0.42782106563880373,0.3293887662895917,0.052768834721259136
M-SVR(g),0.04915848525070118,0.0306238709412801,1.5985386931767875,1.3933427990629497,0.16223487340768816,0.05498356162502502,1.0933160463878868,0.37675398560836115,1.2016467958435297,0.4092256636833523,0.30043686878750187,0.04962827057595293
MRT,0.038650983484130645,0.03176761029228238,0.8256545930987743,0.079418941783557,0.1480663033074638,0.07096513245343894,0.8830281475521885,0.045009635376106236,0.9077194351425183,0.042914898465046085,0.4293881977589079,0.10166500753065733
MRT(g),0.03911568993732559,0.03233726177551635,0.8377899502306374,0.09121124138281629,0.14845135461024553,0.07184604774990064,0.8852020027451519,0.049175639472405504,0.9140990129272127,0.048962811014860955,0.4110004775530017,0.10759964720440418
RC,0.04004411742813952,0.032710672094460845,0.8678422973536585,0.0791478607571967,0.15011274884307094,0.07201280278576933,0.897830756876066,0.04478658499305897,0.9307175977646902,0.041724949912268314,0.37108057391141563,0.09943103291024265
RC(g),0.03915333254083095,0.03226654428843578,0.8430582443482492,0.08517031900055497,0.14882094561348186,0.07157649408783183,0.8883611685606176,0.04593185688814236,0.9171482707240421,0.04533653799634146,0.4062393964923373,0.10170294118232116
ST,0.03926538111220211,0.03222258552681422,0.8489040491418229,0.08238223872358784,0.1488368831639941,0.07147220008966147,0.8894038177648489,0.04624647547696764,0.9203987324849204,0.04379201883684024,0.39608175073812757,0.09595314782772663
