,Assessor,MSE,MAE,NMSE,NMAE,aRRMSE,aCC
0,ST,0.022380103479824696,0.10821290649710862,0.8947336793290901,0.947869110880753,0.8810684494175749,0.8154529800954864
1,MRT,0.03898381586176359,0.16406453240631483,1.5651878752813628,1.4413961782474976,1.209003716646395,0.7753066250621811
2,MRT(g),0.02129847215863461,0.09987785747303576,0.8668677676766063,0.8953139662076837,0.8557507722088025,0.8111441560405696
3,M-SVR,0.019476355760742754,0.10004000417052802,0.7967045123364958,0.9042925317184096,0.8314682668957734,0.7639105785635478
4,M-SVR(g),0.023847615310091996,0.11136403619494077,1.002705421064241,1.0256320142233801,0.9103387459563095,0.7865318432073501
5,RC,0.01455402913113742,0.0913319375949778,0.5424393623935435,0.7785094532304673,0.7154970153950466,0.8270712720995548
6,RC(g),0.021466230429648,0.10034956129342791,0.8712555091194077,0.8869901140333757,0.8526711097545288,0.8200864360657859
