,MSE,MAE,NMSE,NMAE,aRRMSE,aCC
RC,1.0,1.0,1.0,1.0,1.0,7.0
RC(g),0.0,0.0,0.0,0.0,0.0,4.0
RC[10],3.0,3.0,2.0,2.0,3.0,1.0
RC[10](g),1.0,1.0,2.0,2.0,1.0,0.0
RC[30],0.0,0.0,0.0,0.0,0.0,1.0
RC[30](g),1.0,1.0,3.0,3.0,1.0,0.0
RC[50],7.0,7.0,5.0,5.0,7.0,0.0
RC[50](g),0.0,0.0,0.0,0.0,0.0,0.0
