,MSE,MAE,NMSE,NMAE,aRRMSE,aCC
ST,1.0,1.0,3.0,3.0,1.0,0.0
MRT,4.0,4.0,5.0,5.0,4.0,0.0
MRT(g),1.0,1.0,4.0,4.0,1.0,0.0
M-SVR,0.0,0.0,0.0,0.0,0.0,3.0
M-SVR(g),0.0,0.0,0.0,0.0,0.0,10.0
RC,5.0,5.0,0.0,0.0,5.0,0.0
RC(g),2.0,2.0,1.0,1.0,2.0,0.0
